,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date
5513,Don't Start Now,Dua Lipa,14,21,10,14,2020-01-25
5514,No Guidance,Chris Brown Featuring Drake,5,16,31,15,2020-01-25
5515,Trampoline,SHAED,13,19,32,16,2020-01-25
5516,Heartless,The Weeknd,1,20,7,17,2020-01-25
5517,Senorita,Shawn Mendes & Camila Cabello,1,11,29,18,2020-01-25
5518,Everything I Wanted,Billie Eilish,8,23,9,19,2020-01-25
5519,Truth Hurts,Lizzo,1,18,36,20,2020-01-25
5520,Hot,Young Thug Featuring Gunna,11,24,21,21,2020-01-25
5521,Woah,Lil Baby,16,27,9,22,2020-01-25
5522,Panini,Lil Nas X,5,17,29,23,2020-01-25
5523,Adore You,Harry Styles,24,35,5,24,2020-01-25
5524,Only Human,Jonas Brothers,18,25,29,25,2020-01-25
5525,The Bones,Maren Morris,26,36,16,26,2020-01-25
5526,One Man Band,Old Dominion,20,26,20,27,2020-01-25
5527,Bandit,Juice WRLD & YoungBoy Never Broke Again,10,22,14,28,2020-01-25
5528,Hot Girl Bummer,blackbear,29,32,17,29,2020-01-25
5529,Futsal Shuffle 2020,Lil Uzi Vert,5,44,4,30,2020-01-25
5530,Even Though I'm Leaving,Luke Combs,11,30,19,31,2020-01-25
5531,I Don't Care,Ed Sheeran & Justin Bieber,2,28,32,32,2020-01-25
5532,Bad Guy,Billie Eilish,1,14,41,33,2020-01-25
5533,Sucker,Jonas Brothers,1,29,40,34,2020-01-25
5534,High Fashion,Roddy Ricch Featuring Mustard,35,70,2,35,2020-01-25
5535,Lover,Taylor Swift,10,34,21,36,2020-01-25
5536,On Chill,Wale Featuring Jeremih,22,39,22,37,2020-01-25
5537,Falling,Trevor Daniel,31,31,8,38,2020-01-25
5538,Blinding Lights,The Weeknd,11,59,6,39,2020-01-25
5539,What If I Never Get Over You,Lady Antebellum,40,49,20,40,2020-01-25
5540,Suicidal,YNW Melly & Juice WRLD,41,41,7,41,2020-01-25
5541,Talk,Khalid,3,40,45,42,2020-01-25
5542,Graveyard,Halsey,34,37,17,43,2020-01-25
5543,My Oh My,Camila Cabello Featuring DaBaby,44,50,5,44,2020-01-25
5544,Beautiful People,Ed Sheeran Featuring Khalid,13,42,26,45,2020-01-25
5545,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,15,45,46,2020-01-25
5546,Ridin' Roads,Dustin Lynch,47,51,10,47,2020-01-25
5547,Juicy,Doja Cat & Tyga,45,45,11,48,2020-01-25
5548,Playing Games,Summer Walker,16,54,19,49,2020-01-25
5549,Suge,DaBaby,7,43,37,50,2020-01-25
5550,Heartache Medication,Jon Pardi,51,58,15,51,2020-01-25
5551,Out West,JACKBOYS Featuring Young Thug,38,38,2,52,2020-01-25
5552,VIBEZ,DaBaby,21,57,15,53,2020-01-25
5553,Kinfolks,Sam Hunt,54,60,13,54,2020-01-25
5554,Heat,Chris Brown Featuring Gunna,36,53,19,55,2020-01-25
5555,Start Wit Me,Roddy Ricch & Gunna,56,68,8,56,2020-01-25
5556,Into The Unknown,Idina Menzel & AURORA,46,55,7,57,2020-01-25
5557,No Idea,Don Toliver,43,46,6,58,2020-01-25
5558,Heart On Ice,Rod Wave,54,62,9,59,2020-01-25
5559,U Played,MoneyBagg Yo Featuring Lil Baby,60,0,1,60,2020-01-25
5560,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,53,72,5,61,2020-01-25
5561,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,28,71,6,62,2020-01-25
5562,Homesick,Kane Brown,63,64,8,63,2020-01-25
5563,Remember You Young,Thomas Rhett,53,61,17,64,2020-01-25
5564,I Hope,Gabby Barrett Featuring Charlie Puth,65,74,2,65,2020-01-25
5565,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,8,63,18,66,2020-01-25
5566,Slide,H.E.R. Featuring YG,67,73,3,67,2020-01-25
5567,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,66,66,7,68,2020-01-25
5568,BEST ON EARTH,Russ & BIA,69,81,5,69,2020-01-25
5569,SUGAR,BrockHampton,70,0,1,70,2020-01-25
5570,GANG GANG,JACKBOYS & Sheck Wes,48,48,2,71,2020-01-25
5571,Camelot,NLE Choppa,37,65,17,72,2020-01-25
5572,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",60,67,14,73,2020-01-25
5573,We Back,Jason Aldean,74,77,6,74,2020-01-25
5574,What She Wants Tonight,Luke Bryan,75,86,3,75,2020-01-25
5575,HAD ENOUGH,Don Toliver Featuring Quavo & Offset,52,52,2,76,2020-01-25
5576,Nice To Meet Ya,Niall Horan,63,75,13,77,2020-01-25
5577,Make Me Want To,Jimmie Allen,78,84,2,78,2020-01-25
5578,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,73,89,6,79,2020-01-25
5579,Easy,DaniLeigh Featuring Chris Brown,79,79,10,80,2020-01-25
5580,Watermelon Sugar,Harry Styles,54,82,7,81,2020-01-25
5581,More Hearts Than Mine,Ingrid Andress,82,88,2,82,2020-01-25
5582,I Wish Grandpas Never Died,Riley Green,83,90,2,83,2020-01-25
5583,homecoming queen?,Kelsea Ballerini,82,87,5,84,2020-01-25
5584,223's,YNW Melly & 9lokknine,34,78,18,85,2020-01-25
5585,Peta,Roddy Ricch Featuring Meek Mill,72,0,3,86,2020-01-25
5586,Tusa,Karol G & Nicki Minaj,76,76,6,87,2020-01-25
5587,Jerry Sprunger,Tory Lanez & T-Pain,44,93,6,88,2020-01-25
5588,Enemies,Post Malone Featuring DaBaby,16,85,18,89,2020-01-25
5589,All I Want,Olivia Rodrigo,90,0,1,90,2020-01-25
5590,July,Noah Cyrus & Leon Bridges,91,100,2,91,2020-01-25
5591,Vete,Bad Bunny,33,83,7,92,2020-01-25
5592,I Hope You're Happy Now,Carly Pearce & Lee Brice,93,0,1,93,2020-01-25
5593,20/20,Lil Tjay,94,0,1,94,2020-01-25
5594,Say So,Doja Cat Featuring Nicki Minaj,95,0,1,95,2020-01-25
5595,Make No Sense,YoungBoy Never Broke Again,57,0,9,96,2020-01-25
5596,Slow Dance In A Parking Lot,Jordan Davis,97,99,2,97,2020-01-25
5597,ORANGE SODA,Baby Keem,98,0,1,98,2020-01-25
5598,All Dat,Moneybagg Yo X Megan Thee Stallion,70,0,3,99,2020-01-25
5599,WHAT TO DO?,JACKBOYS Featuring Don Toliver,56,56,2,100,2020-01-25
5600,The Box,Roddy Ricch,1,1,6,1,2020-02-01
5601,Life Is Good,Future Featuring Drake,2,0,1,2,2020-02-01
5602,Circles,Post Malone,1,3,20,3,2020-02-01
5603,Memories,Maroon 5,2,4,17,4,2020-02-01
5604,Lose You To Love Me,Selena Gomez,1,10,13,5,2020-02-01
5605,Someone You Loved,Lewis Capaldi,1,6,36,6,2020-02-01
5606,"10,000 Hours",Dan + Shay & Justin Bieber,4,5,15,7,2020-02-01
5607,Dance Monkey,Tones And I,7,7,15,8,2020-02-01
5608,Roxanne,Arizona Zervas,4,9,11,9,2020-02-01
5609,Yummy,Justin Bieber,2,2,2,10,2020-02-01
5610,Good As Hell,Lizzo,3,8,21,11,2020-02-01
5611,BOP,DaBaby,11,12,16,12,2020-02-01
5612,Ballin',Mustard & Roddy Ricch,11,11,26,13,2020-02-01
5613,Don't Start Now,Dua Lipa,14,14,11,14,2020-02-01
5614,HIGHEST IN THE ROOM,Travis Scott,1,13,15,15,2020-02-01
5615,Sum 2 Prove,Lil Baby,16,0,1,16,2020-02-01
5616,Good News,Mac Miller,17,0,1,17,2020-02-01
5617,Heartless,The Weeknd,1,17,8,18,2020-02-01
5618,No Guidance,Chris Brown Featuring Drake,5,15,32,19,2020-02-01
5619,Trampoline,SHAED,13,16,33,20,2020-02-01
5620,Woah,Lil Baby,16,22,10,21,2020-02-01
5621,Everything I Wanted,Billie Eilish,8,19,10,22,2020-02-01
5622,The Bones,Maren Morris,23,26,17,23,2020-02-01
5623,Senorita,Shawn Mendes & Camila Cabello,1,18,30,24,2020-02-01
5624,Hot Girl Bummer,blackbear,25,29,18,25,2020-02-01
5625,Adore You,Harry Styles,24,24,6,26,2020-02-01
5626,High Fashion,Roddy Ricch Featuring Mustard,27,35,3,27,2020-02-01
5627,Panini,Lil Nas X,5,23,30,28,2020-02-01
5628,You Should Be Sad,Halsey,29,0,1,29,2020-02-01
5629,Rare,Selena Gomez,30,0,1,30,2020-02-01
5630,Hot,Young Thug Featuring Gunna,11,21,22,31,2020-02-01
5631,Blinding Lights,The Weeknd,11,39,7,32,2020-02-01
5632,Truth Hurts,Lizzo,1,20,37,33,2020-02-01
5633,Only Human,Jonas Brothers,18,25,30,34,2020-02-01
5634,Bandit,Juice WRLD & YoungBoy Never Broke Again,10,28,15,35,2020-02-01
5635,One Man Band,Old Dominion,20,27,21,36,2020-02-01
5636,Even Though I'm Leaving,Luke Combs,11,31,20,37,2020-02-01
5637,I Don't Care,Ed Sheeran & Justin Bieber,2,32,33,38,2020-02-01
5638,Suicidal,YNW Melly & Juice WRLD,39,41,8,39,2020-02-01
5639,Bad Guy,Billie Eilish,1,33,42,40,2020-02-01
5640,Falling,Trevor Daniel,31,38,9,41,2020-02-01
5641,Sucker,Jonas Brothers,1,34,41,42,2020-02-01
5642,Futsal Shuffle 2020,Lil Uzi Vert,5,30,5,43,2020-02-01
5643,My Oh My,Camila Cabello Featuring DaBaby,44,44,6,44,2020-02-01
5644,Juicy,Doja Cat & Tyga,45,48,12,45,2020-02-01
5645,On Chill,Wale Featuring Jeremih,22,37,23,46,2020-02-01
5646,Heartache Medication,Jon Pardi,47,51,16,47,2020-02-01
5647,Talk,Khalid,3,42,46,48,2020-02-01
5648,What If I Never Get Over You,Lady Antebellum,40,40,21,49,2020-02-01
5649,Lover,Taylor Swift,10,36,22,50,2020-02-01
5650,Kinfolks,Sam Hunt,51,54,14,51,2020-02-01
5651,Ridin' Roads,Dustin Lynch,47,47,11,52,2020-02-01
5652,U Played,MoneyBagg Yo Featuring Lil Baby,53,60,2,53,2020-02-01
5653,Playing Games,Summer Walker,16,49,20,54,2020-02-01
5654,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,28,62,7,55,2020-02-01
5655,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,53,61,6,56,2020-02-01
5656,VIBEZ,DaBaby,21,53,16,57,2020-02-01
5657,Graveyard,Halsey,34,43,18,58,2020-02-01
5658,Heat,Chris Brown Featuring Gunna,36,55,20,59,2020-02-01
5659,Homesick,Kane Brown,60,63,9,60,2020-02-01
5660,Heart On Ice,Rod Wave,54,59,10,61,2020-02-01
5661,Start Wit Me,Roddy Ricch & Gunna,56,56,9,62,2020-02-01
5662,No Idea,Don Toliver,43,58,7,63,2020-02-01
5663,I Hope,Gabby Barrett Featuring Charlie Puth,64,65,3,64,2020-02-01
5664,Out West,JACKBOYS Featuring Young Thug,38,52,3,65,2020-02-01
5665,SUGAR,BrockHampton,66,70,2,66,2020-02-01
5666,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,66,68,8,67,2020-02-01
5667,BEST ON EARTH,Russ & BIA,68,69,6,68,2020-02-01
5668,Tusa,Karol G & Nicki Minaj,69,87,7,69,2020-02-01
5669,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,8,66,19,70,2020-02-01
5670,Slide,H.E.R. Featuring YG,67,67,4,71,2020-02-01
5671,We Back,Jason Aldean,72,74,7,72,2020-02-01
5672,What She Wants Tonight,Luke Bryan,73,75,4,73,2020-02-01
5673,Make Me Want To,Jimmie Allen,74,78,3,74,2020-02-01
5674,I Wish Grandpas Never Died,Riley Green,75,83,3,75,2020-02-01
5675,More Hearts Than Mine,Ingrid Andress,76,82,3,76,2020-02-01
5676,Say So,Doja Cat Featuring Nicki Minaj,77,95,2,77,2020-02-01
5677,Camelot,NLE Choppa,37,72,18,78,2020-02-01
5678,Make No Sense,YoungBoy Never Broke Again,57,96,10,79,2020-02-01
5679,Remember You Young,Thomas Rhett,53,64,18,80,2020-02-01
5680,Easy,DaniLeigh Featuring Chris Brown,79,80,11,81,2020-02-01
5681,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,73,79,7,82,2020-02-01
5682,Eleven,Khalid,83,0,1,83,2020-02-01
5683,All Dat,Moneybagg Yo X Megan Thee Stallion,70,99,4,84,2020-02-01
5684,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",60,73,15,85,2020-02-01
5685,Conversations In The Dark,John Legend,86,0,1,86,2020-02-01
5686,I Hope You're Happy Now,Carly Pearce & Lee Brice,87,93,2,87,2020-02-01
5687,Jerry Sprunger,Tory Lanez & T-Pain,44,88,7,88,2020-02-01
5688,Protect da Brand,Moneybagg Yo Featuring DaBaby,89,0,1,89,2020-02-01
5689,Into The Unknown,Idina Menzel & AURORA,46,57,8,90,2020-02-01
5690,Vete,Bad Bunny,33,92,8,91,2020-02-01
5691,Look At Her Now.,Selena Gomez,27,0,4,92,2020-02-01
5692,homecoming queen?,Kelsea Ballerini,82,84,6,93,2020-02-01
5693,Watermelon Sugar,Harry Styles,54,81,8,94,2020-02-01
5694,Nice To Meet Ya,Niall Horan,63,77,14,95,2020-02-01
5695,July,Noah Cyrus & Leon Bridges,91,91,3,96,2020-02-01
5696,Peta,Roddy Ricch Featuring Meek Mill,72,86,4,97,2020-02-01
5697,223's,YNW Melly & 9lokknine,34,85,19,98,2020-02-01
5698,Slow Dance In A Parking Lot,Jordan Davis,97,97,3,99,2020-02-01
5699,All I Want,Olivia Rodrigo,90,90,2,100,2020-02-01
5700,The Box,Roddy Ricch,1,1,7,1,2020-02-08
5701,Life Is Good,Future Featuring Drake,2,2,2,2,2020-02-08
5702,Godzilla,Eminem Featuring Juice WRLD,3,0,1,3,2020-02-08
5703,Circles,Post Malone,1,3,21,4,2020-02-08
5704,Memories,Maroon 5,2,4,18,5,2020-02-08
5705,"10,000 Hours",Dan + Shay & Justin Bieber,4,7,16,6,2020-02-08
5706,Dance Monkey,Tones And I,7,8,16,7,2020-02-08
5707,Someone You Loved,Lewis Capaldi,1,6,37,8,2020-02-08
5708,Roxanne,Arizona Zervas,4,9,12,9,2020-02-08
5709,Lose You To Love Me,Selena Gomez,1,5,14,10,2020-02-08
5710,Yummy,Justin Bieber,2,10,3,11,2020-02-08
5711,Good As Hell,Lizzo,3,11,22,12,2020-02-08
5712,BOP,DaBaby,11,12,17,13,2020-02-08
5713,Ballin',Mustard & Roddy Ricch,11,13,27,14,2020-02-08
5714,Don't Start Now,Dua Lipa,14,14,12,15,2020-02-08
5715,What A Man Gotta Do,Jonas Brothers,16,0,1,16,2020-02-08
5716,HIGHEST IN THE ROOM,Travis Scott,1,15,16,17,2020-02-08
5717,Good News,Mac Miller,17,17,2,18,2020-02-08
5718,Heartless,The Weeknd,1,18,9,19,2020-02-08
5719,High Fashion,Roddy Ricch Featuring Mustard,20,27,4,20,2020-02-08
5720,Blinding Lights,The Weeknd,11,32,8,21,2020-02-08
5721,The Bones,Maren Morris,22,23,18,22,2020-02-08
5722,Everything I Wanted,Billie Eilish,8,22,11,23,2020-02-08
5723,Trampoline,SHAED,13,20,34,24,2020-02-08
5724,No Guidance,Chris Brown Featuring Drake,5,19,33,25,2020-02-08
5725,You Should Be Sad,Halsey,26,29,2,26,2020-02-08
5726,Hot Girl Bummer,blackbear,25,25,19,27,2020-02-08
5727,Darkness,Eminem,28,0,1,28,2020-02-08
5728,Woah,Lil Baby,16,21,11,29,2020-02-08
5729,Senorita,Shawn Mendes & Camila Cabello,1,24,31,30,2020-02-08
5730,Those Kinda Nights,Eminem Featuring Ed Sheeran,31,0,1,31,2020-02-08
5731,Adore You,Harry Styles,24,26,7,32,2020-02-08
5732,Sum 2 Prove,Lil Baby,16,16,2,33,2020-02-08
5733,Suicidal,YNW Melly & Juice WRLD,34,39,9,34,2020-02-08
5734,Only Human,Jonas Brothers,18,34,31,35,2020-02-08
5735,Unaccommodating,Eminem Featuring Young M.A,36,0,1,36,2020-02-08
5736,Falling,Trevor Daniel,31,41,10,37,2020-02-08
5737,Blue World,Mac Miller,38,0,1,38,2020-02-08
5738,Panini,Lil Nas X,5,28,31,39,2020-02-08
5739,My Oh My,Camila Cabello Featuring DaBaby,40,44,7,40,2020-02-08
5740,Bad Guy,Billie Eilish,1,40,43,41,2020-02-08
5741,Hot,Young Thug Featuring Gunna,11,31,23,42,2020-02-08
5742,Truth Hurts,Lizzo,1,33,38,43,2020-02-08
5743,I Don't Care,Ed Sheeran & Justin Bieber,2,38,34,44,2020-02-08
5744,Even Though I'm Leaving,Luke Combs,11,37,21,45,2020-02-08
5745,One Man Band,Old Dominion,20,36,22,46,2020-02-08
5746,Bandit,Juice WRLD & YoungBoy Never Broke Again,10,35,16,47,2020-02-08
5747,Circles,Mac Miller,48,0,1,48,2020-02-08
5748,Sucker,Jonas Brothers,1,42,42,49,2020-02-08
5749,Juicy,Doja Cat & Tyga,45,45,13,50,2020-02-08
5750,Heartache Medication,Jon Pardi,47,47,17,51,2020-02-08
5751,You Gon' Learn,"Eminem Featuring Royce da 5'9"" & White Gold",52,0,1,52,2020-02-08
5752,Kinfolks,Sam Hunt,51,51,15,53,2020-02-08
5753,Graveyard,Halsey,34,58,19,54,2020-02-08
5754,Tusa,Karol G & Nicki Minaj,55,69,8,55,2020-02-08
5755,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,53,56,7,56,2020-02-08
5756,Black Swan,BTS,57,0,1,57,2020-02-08
5757,P*$$y Fairy (OTW),Jhene Aiko,58,0,1,58,2020-02-08
5758,Futsal Shuffle 2020,Lil Uzi Vert,5,43,6,59,2020-02-08
5759,Ridin' Roads,Dustin Lynch,47,52,12,60,2020-02-08
5760,Leaving Heaven,Eminem Featuring Skylar Grey,61,0,1,61,2020-02-08
5761,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,62,67,9,62,2020-02-08
5762,Complicated,Mac Miller,63,0,1,63,2020-02-08
5763,Hand Me Downs,Mac Miller,64,0,1,64,2020-02-08
5764,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,28,55,8,65,2020-02-08
5765,Homesick,Kane Brown,60,60,10,66,2020-02-08
5766,Premonition (Intro),Eminem,67,0,1,67,2020-02-08
5767,I Can See,Mac Miller,68,0,1,68,2020-02-08
5768,VIBEZ,DaBaby,21,57,17,69,2020-02-08
5769,Slide,H.E.R. Featuring YG,67,71,5,70,2020-02-08
5770,In Too Deep,Eminem,71,0,1,71,2020-02-08
5771,Heart On Ice,Rod Wave,54,61,11,72,2020-02-08
5772,I Hope,Gabby Barrett Featuring Charlie Puth,64,64,4,73,2020-02-08
5773,Start Wit Me,Roddy Ricch & Gunna,56,62,10,74,2020-02-08
5774,Woods,Mac Miller,75,0,1,75,2020-02-08
5775,Nobody But You,Blake Shelton Duet With Gwen Stefani,76,0,2,76,2020-02-08
5776,No Idea,Don Toliver,43,63,8,77,2020-02-08
5777,SUGAR,BrockHampton,66,66,3,78,2020-02-08
5778,BEST ON EARTH,Russ & BIA,68,68,7,79,2020-02-08
5779,Everybody,Mac Miller,80,0,1,80,2020-02-08
